year,codest,codmun,enrolled,daycare_pop,ratio
2000,12,120070,0,1306,0.0
2004,12,120070,100,1364,0.07331378299120235
2008,12,120070,125,1396,0.08954154727793696
2012,12,120070,156,1320,0.11818181818181818
2000,12,120080,0,1284,0.0
2004,12,120080,0,1388,0.0
2008,12,120080,0,1475,0.0
2012,12,120080,0,1221,0.0
2000,13,130002,0,1781,0.0
2004,13,130002,440,1999,0.22011005502751377
2008,13,130002,82,1609,0.0509633312616532
2012,13,130002,239,1774,0.13472378804960541
2000,13,130006,0,944,0.0
2004,13,130006,0,1078,0.0
2008,13,130006,93,921,0.10097719869706841
2012,13,130006,90,1099,0.0818926296633303
2000,13,130008,0,835,0.0
2004,13,130008,88,863,0.10196987253765932
2008,13,130008,65,905,0.0718232044198895
2012,13,130008,51,970,0.05257731958762887
2000,13,130010,0,1364,0.0
2004,13,130010,0,1478,0.0
2008,13,130010,0,1425,0.0
2012,13,130010,0,1639,0.0
2000,13,130014,153,1542,0.09922178988326848
2004,13,130014,122,1909,0.06390780513357779
2008,13,130014,59,1595,0.03699059561128527
2012,13,130014,188,1335,0.14082397003745317
2000,13,130020,0,1362,0.0
2004,13,130020,0,1475,0.0
2008,13,130020,0,1617,0.0
2012,13,130020,11,1802,0.006104328523862375
2000,13,130030,157,3082,0.050940947436729396
2004,13,130030,554,3453,0.16044019693020561
2008,13,130030,714,3181,0.22445771769883685
2012,13,130030,272,3396,0.0800942285041225
2000,13,130040,108,2633,0.041017850360805165
2004,13,130040,291,3214,0.09054138145612943
2008,13,130040,296,2355,0.1256900212314225
2012,13,130040,225,2071,0.1086431675519073
2000,13,130050,85,3056,0.027814136125654452
2004,13,130050,0,3400,0.0
2008,13,130050,387,3083,0.12552708400908205
2012,13,130050,598,3184,0.1878140703517588
2000,13,130060,0,2951,0.0
2004,13,130060,0,3203,0.0
2008,13,130060,0,3179,0.0
2012,13,130060,59,4199,0.0140509645153608
2000,13,130063,0,1614,0.0
2004,13,130063,0,1827,0.0
2008,13,130063,17,1680,0.01011904761904762
2012,13,130063,0,1869,0.0
2000,13,130068,0,1382,0.0
2004,13,130068,230,1542,0.14915693904020752
2008,13,130068,298,1572,0.1895674300254453
2012,13,130068,89,1552,0.057345360824742266
2000,13,130070,61,3138,0.019439133205863608
2004,13,130070,0,3229,0.0
2008,13,130070,0,2846,0.0
2012,13,130070,0,2764,0.0
